gene_id	cell_type
SYNGR3	vGLUT_depleted
SYNPR	vGLUT_depleted
SYP	vGLUT_depleted
SYVN1	vGLUT_depleted
TECR	vGLUT_depleted
TM2D2	vGLUT_depleted
TM9SF2	vGLUT_depleted
TMCO1	vGLUT_depleted
TMED10	vGLUT_depleted
TMED5	vGLUT_depleted
TMEFF2	vGLUT_depleted
TMEM121	vGLUT_depleted
TMEM127	vGLUT_depleted
TMEM128	vGLUT_depleted
TMEM130	vGLUT_depleted
TMEM131	vGLUT_depleted
TMEM147	vGLUT_depleted
TMEM158	vGLUT_depleted
TMEM163	vGLUT_depleted
TMEM165	vGLUT_depleted
TMEM175	vGLUT_depleted
TMEM179	vGLUT_depleted
TMEM184C	vGLUT_depleted
TMEM19	vGLUT_depleted
TMEM246	vGLUT_depleted
TMEM255A	vGLUT_depleted
TMEM259	vGLUT_depleted
TMEM30A	vGLUT_depleted
TMEM38A	vGLUT_depleted
TMEM50A	vGLUT_depleted
TMEM63B	vGLUT_depleted
TMEM63C	vGLUT_depleted
TMEM97	vGLUT_depleted
TMEM9B	vGLUT_depleted
TMUB2	vGLUT_depleted
TMX2	vGLUT_depleted
TRAM1L1	vGLUT_depleted
TRPC5	vGLUT_depleted
TSPAN13	vGLUT_depleted
TSPAN2	vGLUT_depleted
TSPAN3	vGLUT_depleted
TSPAN31	vGLUT_depleted
TSPAN5	vGLUT_depleted
TTYH2	vGLUT_depleted
TUSC3	vGLUT_depleted
UBXN8	vGLUT_depleted
UGCG	vGLUT_depleted
UNC50	vGLUT_depleted
WLS	vGLUT_depleted
YIF1B	vGLUT_depleted
YIPF4	vGLUT_depleted
ZDHHC17	vGLUT_depleted
ZDHHC8	vGLUT_depleted
ZDHHC9	vGLUT_depleted
ACSL4	vGLUT_depleted
ALG2	vGLUT_depleted
ANKRD26	vGLUT_depleted
ARID4B	vGLUT_depleted
ARL8B	vGLUT_depleted
ASIC2	vGLUT_depleted
ATAD1	vGLUT_depleted
ATP6V1D	vGLUT_depleted
ATP6V1E1	vGLUT_depleted
ATP6V1H	vGLUT_depleted
ATRX	vGLUT_depleted
